//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 61834000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
61834000;1;01/09/1942;;1;1;86,445;52,616;60,6994;29;7;1;1;1;;;60,125;60,125;60,125;60,125;57,078;55,576;52,616;57,078;57,078;55,576;55,576;55,576;55,576;55,576;54,089;54,089;52,616;54,089;55,576;58,595;69,602;71,229;67,988;64,801;60,125;60,125;71,229;76,191;86,445;66,388;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/10/1942;;1;1;174,523;44,09;68,8598;30;26;1;1;1;;;61,67;57,078;54,089;52,616;52,616;54,089;55,576;63,229;67,988;67,988;63,229;55,576;54,089;54,089;54,089;57,078;58,595;58,595;63,229;64,801;63,229;55,576;52,616;52,616;51,157;44,09;63,229;82,993;163,104;174,523;161,211;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/11/1942;;1;1;195,709;67,988;118,3463;17;9;1;1;1;;;148,041;125,822;136,872;148,041;114,896;96,99;79,566;69,602;67,988;72,87;91,698;91,698;88,191;109,483;155,549;191,834;195,709;180,269;151,789;123,992;136,872;136,872;136,872;122,165;100,539;93,457;88,191;95,221;100,539;98,762;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/12/1942;;1;1;227,062;69,602;136,4632;19;9;1;1;1;;;100,539;96,99;89,942;86,445;86,445;86,445;79,566;81,273;69,602;69,602;69,602;77,872;95,221;146,172;166,899;201,541;219,167;225,085;227,062;205,441;176,435;168,801;157,433;166,899;166,899;165;172,613;148,041;142,442;142,442;142,442;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/01/1943;;1;1;537,81;127,655;332,6724;31;3;1;1;1;;;140,582;136,872;127,655;157,433;195,709;213,27;231,023;275,155;285,321;281,249;277,184;252,963;213,27;207,395;258,991;314,035;314,035;301,685;318,166;397,211;440,47;464,916;479,722;494,628;484,679;484,679;482,199;499,618;520,277;524,643;537,81;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/02/1943;;1;1;591,476;267,057;434,3726;26;11;1;1;1;;;507,125;484,679;474,775;479,722;497,122;492,136;411,521;347,274;303,739;273,127;267,057;269,079;277,184;277,184;299,633;351,459;401,969;460,004;492,136;499,618;504,62;484,679;489,648;509,633;564,445;591,476;586,944;564,445;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
61834000;1;01/03/1943;;1;1;492,136;244,955;330,5533;1;26;1;1;1;;;492,136;418,718;380,657;334,758;309,911;307,852;324,375;322,303;330,6;345,184;355,651;357,749;359,849;364,053;370,372;413,917;423,531;416,316;380,657;326,448;289,401;275,155;265,038;256,98;246,954;244,955;248,955;250,958;258,991;283,284;291,443;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/04/1943;;1;1;287,36;142,442;190,2959;1;29;1;1;1;;;287,36;275,155;265,038;244,955;233,006;217,199;209,351;199,594;193,77;187,968;184,113;180,269;178,351;176,435;178,351;191,834;195,709;199,594;187,968;178,351;170,705;161,211;161,211;157,433;157,433;153,667;151,789;146,172;142,442;142,442;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
61834000;1;01/05/1943;;1;1;142,442;105,893;123,6396;1;31;1;1;1;;;142,442;140,582;140,582;140,582;136,872;133,175;131,332;127,655;125,822;125,822;133,175;133,175;131,332;129,492;127,655;122,165;123,992;120,343;118,523;116,708;116,708;116,708;114,896;113,088;113,088;111,284;111,284;111,284;109,483;107,686;105,893;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
61834000;1;01/06/1943;;1;1;131,332;96,99;108,0354;11;28;1;1;1;;;105,893;105,893;104,105;104,105;102,32;104,105;107,686;114,896;123,992;129,492;131,332;125,822;120,343;114,896;109,483;107,686;104,105;104,105;104,105;104,105;105,893;105,893;104,105;105,893;100,539;100,539;98,762;96,99;96,99;96,99;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
